sid,name,units
9,Northernmost point,deg
rank,country,datum
1,Denmark,83°40?N
2,Canada,83°06?N
3,Russia,81°51?N
4,Norway,80°49?N
5,United States,71°23?N
6,Finland,70°05?N
7,Sweden,69°04?N
8,Iceland,67°08?N
9,United Kingdom,60°51?N
10,Estonia,59°48?N
11,Latvia,58°05?N
12,Lithuania,56°27?N
13,Belarus,56°08?N
14,Kazakhstan,55°43?N
15,Ireland,55°26?N
16,Germany,55°03?N
17,Poland,54°50?N
18,China,53°34?N
19,Netherlands,53°32?N
20,Ukraine,52°22?N
21,Mongolia,52°09?N
22,Belgium,51°30?N
23,France,51°05?N
24,Czech Republic,51°02?N
25,Luxembourg,50°11?N
26,Slovakia,49°36?N
27,Austria,49°01?N
28,Hungary,48°35?N
29,Moldova,48°28?N
30,Romania,48°15?N
31,Switzerland,47°48?N
32,Liechtenstein,47°14?N
33,Italy,47°05?N
34,Slovenia,46°52?N
35,Croatia,46°33?N
36,Serbia,46°11?N
37,Uzbekistan,45°36?N
38,Japan,45°31?N
39,Bosnia and Herzegovina,45°16?N
40,Bulgaria,44°13?N
41,San Marino,43°59?N
42,Spain,43°47?N
43,Monaco,43°45?N
44,Georgia,43°35?N
45,Montenegro,43°32?N
46,Kyrgyzstan,43°16?N
47,Kosovo,43°14?N
48,North Korea,43°00?N
49,Turkmenistan,42°50?N
50,Andorra,42°39?N
51,Albania,42°30?N
52,North Macedonia,42°21?N
53,Portugal,42°07?N
54,Turkey,42°06?N
55,Vatican City,41°54?N
56,Azerbaijan,41°53?N
57,Greece,41°43?N
58,Armenia,41°17?N
59,Tajikistan,41°02?N
60,Iran,39°47?N
61,South Korea,38°36?N
62,Afghanistan,38°22?N
63,Tunisia,37°31?N
64,Iraq,37°23?N
65,Syria,37°19?N
66,Pakistan,37°08?N
67,Algeria,37°05?N
68,Malta,36°05?N
69,Morocco,35°55?N
70,Cyprus,35°42?N
71,India,35°40?N
72,Lebanon,34°43?N
73,Jordan,33°22?N
74,Israel,33°17?N
75,Libya,33°10?N
76,Mexico,32°43?N
77,Palestine,32°32?N
78,Saudi Arabia,32°14?N
79,Egypt,31°36?N
80,Nepal,30°26?N
81,Kuwait,30°06?N
82,Myanmar,28°32?N
83,Bhutan,28°20?N
84,Mauritania,27°19?N
85,Bahamas,27°16?N
86,Bangladesh,26°38?N
87,Oman,26°30?N
88,Taiwan,26°23?N
89,Bahrain,26°17?N
90,Qatar,26°09?N
91,United Arab Emirates,26°05?N
92,Mali,25°04?N
93,Niger,23°31?N
94,Chad,23°29?N
95,Vietnam,23°27?N
96,Cuba,23°16?N
97,Laos,22°29?N
98,Sudan,22°12?N
99,Philippines,21°07?N
100,Thailand,20°27?N
101,Haiti,20°04?N
102,Dominican Republic,19°55?N
103,Yemen,18°59?N
104,Jamaica,18°31?N
105,Belize,18°27?N
106,Eritrea,18°00?N
107,Guatemala,17°49?N
108,Antigua and Barbuda,17°44?N
109,Saint Kitts and Nevis,17°26?N
110,Honduras,17°24?N
111,Cape Verde,17°12?N
112,Senegal,16°41?N
113,Colombia,15°52?N
114,Venezuela,15°40?N
115,Dominica,15°38?N
116,Burkina Faso,15°05?N
117,Nicaragua,15°01?N
118,Ethiopia,14°53?N
119,Marshall Islands,14°32?N
120,Cambodia,14°30?N
121,El Salvador,14°26?N
122,Saint Lucia,14°07?N
123,Nigeria,13°50?N
124,The Gambia,13°49?N
125,Saint Vincent and the Grenadines,13°22?N
126,Barbados,13°20?N
127,Cameroon,13°05?N
128,Djibouti,12°43?N
129,Guinea,12°42?N
130,Guinea-Bissau,12°39?N
131,Grenada,12°31?N
132,Benin,12°25?N
133,South Sudan,12°14?N
134,Somalia,11°59?N
135,Trinidad and Tobago,11°21?N
136,Costa Rica,11°13?N
137,Ghana,11°10?N
138,Togo,11°08?N
139,Central African Republic,11°01?N
140,Cote d'Ivoire,10°44?N
141,Federated States of Micronesia,10°05?N
142,Sierra Leone,09°59?N
143,Panama,09°38?N
144,Sri Lanka,09°30?N
145,Liberia,08°33?N
146,Guyana,08°24?N
147,Palau,08°10?N
148,Malaysia,07°15?N
149,Maldives,07°07?N
150,Indonesia,06°04?N
151,Suriname,06°01?N
152,Kenya,05°35?N
153,Democratic Republic of the Congo,05°22?N
154,Brazil,05°15?N
155,Brunei,05°04?N
156,Uganda,04°14?N
157,Equatorial Guinea,03°47?N
158,Republic of the Congo,03°43?N
159,Kiribati,03°23?N
160,Gabon,02°19?N
161,Sao Tome and Principe,01°42?N
162,Ecuador,01°41?N
163,Singapore,01°28?N
164,Peru,00°01?S
165,Nauru,00°30?S
166,Papua New Guinea,00°52?S
167,Tanzania,00°59?S
168,Rwanda,01°03?S
169,Burundi,02°18?S
170,Seychelles,03°43?S
171,Angola,04°24?S
172,Solomon Islands,05°13?S
173,Tuvalu,05°39?S
174,Timor-Leste,08°7?S
175,Zambia,08°12?S
176,Australia,09°08?S
177,Malawi,09°22?S
178,Bolivia,09°40?S
179,Mauritius,10°25?S
180,Mozambique,10°27?S
181,Comoros,11°22?S
182,Madagascar,11°57?S
183,Fiji,12°30?S
184,Vanuatu,13°07?S
185,Samoa,13°25?S
186,Tonga,15°36?S
187,Zimbabwe,15°37?S
188,Namibia,16°56?S
189,Chile,17°19?S
190,Botswana,17°46?S
191,Paraguay,19°17?S
192,Argentina,21°48?S
193,South Africa,22°20?S
194,Eswatini,25°44?S
195,Lesotho,28°34?S
196,New Zealand,29°13?S
197,Uruguay,30°05?S
