sid,name,units,count
4,Highest average yearly temperature,C,192
rank,country,datum,
1,Burkina Faso,28.29,
2,Mali,28.25,
3,Kiribati,28.2,
4,Djibouti,28,
5,Maldives,28,
6,Senegal,27.85,
7,Mauritania,27.65,
8,Tuvalu,27.65,
9,Palau,27.6,
10,Benin,27.55,
11,Gambia,27.5,
12,Marshall Islands,27.4,
13,Ghana,27.2,
14,Kuwait,27.15,
15,Niger,27.15,
16,Qatar,27.15,
17,Seychelles,27.15,
18,Togo,27.15,
19,Somalia,27.05,
20,Nigeria,27,
21,Sri Lanka,26.95,
22,Sudan,26.9,
23,Brunei,26.85,
24,Cambodia,26.8,
25,Bahrain,26.8,
26,Saint Vincent and the Grenadines,26.8,
27,Guinea-Bissau,26.75,
28,Samoa,26.7,
29,United Arab Emirates,26.65,
30,Chad,26.55,
31,Singapore,26.45,
32,Ivory Coast,26.35,
33,Thailand,26.3,
34,Sierra Leone,26.05,
35,Grenada,26,
36,Barbados,26,
37,Guyana,26,
38,Indonesia,25.85,
39,Federated States of Micronesia,25.85,
40,Antigua and Barbuda,25.85,
41,Trinidad and Tobago,25.75,
42,Guinea,25.7,
43,Suriname,25.7,
44,Solomon Islands,25.65,
45,Oman,25.6,
46,Philippines,25.55,
47,Eritrea,25.5,
48,Saint Lucia,25.5,
49,Malaysia,25.4,
50,Panama,25.4,
51,Belize,25.35,
52,Comoros,25.3,
53,Venezuela,25.35,
54,Liberia,25.3,
55,Timor-Leste,25.25,
56,Papua New Guinea,25.25,
57,Tonga,25.25,
58,Cuba,25.2,
59,Gabon,25.05,
60,Bangladesh,25,
61,Brazil,24.95,
62,Jamaica,24.95,
63,Central African Republic,24.9,
64,Haiti,24.9,
65,Nicaragua,24.9,
66,Bahamas,24.85,
67,Costa Rica,24.8,
68,Kenya,24.75,
69,Saudi Arabia,24.65,
70,Cameroon,24.6,
71,Republic of the Congo,24.55,
72,Dominican Republic,24.55,
73,Equatorial Guinea,24.55,
74,Colombia,24.5,
75,Saint Kitts and Nevis,24.5,
76,Vietnam,24.45,
77,El Salvador,24.45,
78,Fiji,24.4,
79,Democratic Republic of the Congo,24,
80,Vanuatu,23.95,
81,Yemen,23.85,
82,Mozambique,23.8,
83,São Tomé and Príncipe,23.75,
84,India,23.65,
85,Paraguay,23.55,
86,Honduras,23.5,
87,Guatemala,23.45,
88,Cape Verde,23.3,
89,Laos,22.8,
90,Uganda,22.8,
91,Madagascar,22.65,
92,Algeria,22.5,
93,Mauritius,22.4,
94,Dominica,22.35,
95,Tanzania,22.35,
96,Ethiopia,22.2,
97,Egypt,22.1,
98,Malawi,21.9,
99,Ecuador,21.85,
100,Libya,21.8,
101,Australia,21.65,
102,Angola,21.55,
103,Bolivia,21.55,
104,Botswana,21.5,
105,Hong Kong,21.45,
106,Iraq,21.4,
107,Eswatini,21.4,
108,Zambia,21.4,
109,Mexico,21,
110,Zimbabwe,21,
111,Pakistan,20.2,
112,Namibia,19.95,
113,Burundi,19.8,
114,Peru,19.6,
115,New Zealand,19.53,
116,Israel,19.2,
117,Malta,19.2,
118,Tunisia,19.2,
119,Cyprus,18.45,
120,Jordan,18.3,
121,Rwanda,17.85,
122,South Africa,17.75,
123,Syria,17.75,
124,Uruguay,17.55,
125,Iran,17.25,
126,Morocco,17.1,
127,Greece,15.4,
128,Portugal,15.15,
129,Turkmenistan,15.1,
130,Lebanon,15,
131,Argentina,14.8,
132,Monaco,13.55,
133,Italy,13.45,
134,Spain,13.3,
135,Myanmar,13.05,
136,Afghanistan,12.6,
137,Uzbekistan,12.05,
138,Azerbaijan,11.95,
139,Lesotho,11.85,
140,San Marino,11.85,
141,South Korea,11.5,
142,Albania,11.4,
143,Japan,11.15,
144,Croatia,10.9,
145,France,10.7,
146,Montenegro,10.55,
147,Bulgaria,10.55,
148,Serbia,10.55,
149,Turkey,9.9,
150,Bosnia and Herzegovina,9.85,
151,North Macedonia,9.8,
152,Hungary,9.75,
153,Belgium,9.55,
154,Moldova,9.45,
155,Ireland,9.3,
156,Netherlands,9.25,
157,Slovenia,8.9,
158,Romania,8.8,
159,Luxembourg,8.65,
160,United States,8.55,
161,United Kingdom,8.45,
162,Chile,8.45,
163,Germany,8.4,
164,Ukraine,8.3,
165,Nepal,8.1,
166,Poland,7.85,
167,Andorra,7.6,
168,Czech Republic,7.55,
169,China,7.5,
170,Bhutan,7.4,
171,Armenia,7.15,
172,Denmark,6.95,
173,Slovakia,6.8,
174,Tajikistan,6.4,
175,Austria,6.35,
176,Lithuania,6.2,
177,Belarus,6.15,
178,Liechtenstein,5.8,
179,North Korea,5.7,
180,Georgia,5.65,
181,Latvia,5.6,
182,Kazakhstan,5.5,
183,Switzerland,5.1,
184,Kyrgyzstan,2.1,
185,Estonia,2,
186,Sweden,1.75,
187,Mongolia,1.7,
188,Finland,1.55,
189,Norway,1.5,
190,Iceland,−0.70,
191,Canada,−5.10,
192,Russia,−5.35,
